country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,65.5,,,,,65.2,,,,,64.9,,,,,64.5,,,,,65.2,66.8,66,61.4,59,61.3,56.3,56.9
Angola,36.4,,,,,35.6,,,,,36.2,,,,,35,,,,,33.8,33.1,33.4,34.7,33,32.7,31.8,32.4
Albania,22.7,,,,,22,,,,,22,,,,,21.6,,,,,21.3,22.8,20.6,19.9,18.9,19.5,18.2,18.2
Andorra,14.1,,,,,13.9,,,,,12.6,,,,,13,,,,,12.8,13.3,12.4,11.8,10.8,11.5,10.3,10.3
United Arab Emirates,39.8,,,,,39.8,,,,,39.7,,,,,39,,,,,39,39.2,39.3,39.6,38,42.3,40.5,40.9
Argentina,16.2,,,,,16.8,,,,,16.8,,,,,16.4,,,,,16.9,17.4,16.1,15.6,14.5,14.6,13.8,13.3
Armenia,36.9,,,,,35.1,,,,,36.8,,,,,37.1,,,,,37.5,38.6,37.2,34.9,33.1,34.9,32.2,32.5
American Samoa,12.5,,,,,12.5,,,,,15.2,,,,,15.2,,,,,15.1,15.4,14.3,14.1,13.3,13,12.4,12.5
Antigua and Barbuda,22.4,,,,,22.5,,,,,22,,,,,22.1,,,,,22.5,23.1,21.5,20.7,19.7,19.7,18.5,18.6
Australia,10.4,,,,,10.4,,,,,10.8,,,,,10.6,,,,,10.6,11,10.5,9.99,9.49,9.32,8.61,8.55
Austria,16.9,,,,,15.7,,,,,15.4,,,,,15.6,,,,,15.1,15.6,14.3,14.1,13.4,13.5,12.6,12.5
Azerbaijan,23.9,,,,,23.4,,,,,22.9,,,,,22.9,,,,,23,23.6,22.2,22.3,20.7,21.4,20.2,19.9
Burundi,41.2,,,,,40,,,,,41,,,,,40.1,,,,,38.4,38.2,41,40,39.4,38.4,38.7,38.9
Belgium,17.6,,,,,16.5,,,,,15.7,,,,,15.4,,,,,16,15.7,14.7,14,13.2,13.6,12.8,12.9
Benin,40.2,,,,,38.1,,,,,39.8,,,,,34.3,,,,,32.4,32.6,32,31.4,29.7,40.5,38.4,39
Burkina Faso,46,,,,,45.1,,,,,44.9,,,,,39.3,,,,,37.5,37.3,38.8,33.3,34,46.6,41.5,42.9
Bangladesh,61.6,,,,,61.8,,,,,63,,,,,68.9,,,,,70.8,70.2,70.8,65.6,68.4,67,60.1,60.8
Bulgaria,27.6,,,,,25.5,,,,,24.1,,,,,23.3,,,,,22.8,24.3,22.6,21,20.7,20.8,19.3,19.1
Bahrain,68.2,,,,,68.1,,,,,68,,,,,64.6,,,,,65.6,63.7,70.3,67.8,62.8,72.6,69.9,70.8
Bahamas,21,,,,,21.3,,,,,21.3,,,,,21.1,,,,,21.1,21.8,20.3,19.9,18.5,18.9,17.7,17.4
Bosnia and Herzegovina,30.4,,,,,29.3,,,,,33.2,,,,,33.8,,,,,32.3,34.2,31.8,30.4,28.8,29.6,27.6,27.7
Belarus,24.6,,,,,22.7,,,,,22.7,,,,,22.9,,,,,23.3,22.9,21.6,20.6,19.8,20.1,18.9,18.8
Belize,27.4,,,,,27.1,,,,,27.8,,,,,28.3,,,,,28.3,28.8,27.4,27.3,24.4,25.2,23.1,23
Bermuda,11.7,,,,,11.7,,,,,14.8,,,,,14.8,,,,,14.6,14.8,14,13.5,12.8,12.4,11.7,11.6
Bolivia,24,,,,,24.7,,,,,26.3,,,,,29.4,,,,,29.6,27.9,26.4,26.1,24.8,22.5,21.4,21.6
Brazil,15.1,,,,,15.4,,,,,15.8,,,,,15.6,,,,,16,15.9,15.3,14.6,14,13.6,12.7,12.7
Barbados,28.2,,,,,28.2,,,,,28.5,,,,,28.5,,,,,28.2,29.3,27,26.2,25.2,24.7,23.5,23.1
Brunei,6.73,,,,,6.84,,,,,6.88,,,,,7.24,,,,,7.42,7.37,7.57,6.71,6.18,6.48,5.93,5.9
Bhutan,40.2,,,,,40.1,,,,,39.7,,,,,43,,,,,44,43.1,42.9,41.9,40.8,39.8,37.2,37.9
Botswana,25.4,,,,,25,,,,,25.3,,,,,25.1,,,,,25.7,24.6,24.9,24.9,24.2,24.3,23.6,23.1
Central African Republic,53.3,,,,,53.4,,,,,51.6,,,,,52.9,,,,,51.5,51.2,53.4,50.9,49.4,58.3,57,56.8
Canada,8.23,,,,,8.1,,,,,8.28,,,,,8.5,,,,,8.38,8.62,8.11,7.79,7.43,7.15,6.55,6.43
Switzerland,14.2,,,,,13.4,,,,,12.7,,,,,12.9,,,,,12.9,13,12.3,11.8,11.4,11.2,10.3,10.3
Chile,24.7,,,,,24.9,,,,,26.2,,,,,25.5,,,,,25.9,27.2,25,23.9,22.9,22.6,20.9,21
China,57.8,,,,,58.7,,,,,60.7,,,,,66.2,,,,,69.5,70.5,63.8,65.5,59.8,59.1,52.2,52.7
Cote d'Ivoire,25.9,,,,,24.9,,,,,25.3,,,,,21.8,,,,,21.6,22.6,22.5,21.3,20.9,27.7,26.7,25.9
Cameroon,75,,,,,72.6,,,,,70.8,,,,,63.5,,,,,59.3,58.1,62.8,58.2,56.7,77.1,73.2,72.8
"Congo, Dem. Rep.",43.2,,,,,43.5,,,,,44.8,,,,,42,,,,,41.4,41.5,43,44.5,42.5,44.9,45.5,44.9
"Congo, Rep.",46.7,,,,,42.7,,,,,43.6,,,,,42.7,,,,,42,44.2,43.5,46.1,45.9,44.1,45.7,46.6
Colombia,20.4,,,,,20,,,,,20.1,,,,,21.3,,,,,21.5,21.4,20.5,19.2,18.3,17.3,16.6,16.5
Comoros,21.8,,,,,21.1,,,,,21.5,,,,,21.2,,,,,20.7,21,21.3,21,21.5,20.7,20.5,20.5
Cape Verde,36.1,,,,,36.4,,,,,36.6,,,,,30.3,,,,,27.6,31.6,32.9,32.1,31.6,38.6,33.4,34.8
Costa Rica,18.3,,,,,18.6,,,,,19.4,,,,,19.7,,,,,19.3,19.7,19.3,18.3,17.5,16.9,15.7,15.7
Cuba,23.8,,,,,24.3,,,,,24.1,,,,,24,,,,,23.9,24.8,23.2,22.9,21.3,20.9,19.7,19.7
Cyprus,20.9,,,,,20.5,,,,,20.2,,,,,19.7,,,,,20.1,20.1,19.2,18.7,18.3,19.1,17,17.3
Czech Republic,24.4,,,,,22.1,,,,,20.4,,,,,19.9,,,,,20.7,20.1,18.7,18,17.4,17.4,16.1,16.1
Germany,17,,,,,15.6,,,,,14.9,,,,,14.5,,,,,15.2,14.7,13.6,13.2,12.8,12.8,11.9,12
Djibouti,40.9,,,,,41.2,,,,,41,,,,,39.2,,,,,38.2,40.4,39.9,40.1,41.3,46,45.9,45.5
Dominica,23.3,,,,,22.9,,,,,23,,,,,23.6,,,,,23.7,24.3,22.2,22.2,21,20.7,20,19.5
Denmark,13.3,,,,,12.7,,,,,12.4,,,,,12.1,,,,,11.9,12.7,11.1,10.8,11.1,10.7,10.1,10
Dominican Republic,15.4,,,,,15.7,,,,,16.5,,,,,16.6,,,,,16.9,17.3,16.2,15.4,14.2,14.9,13.7,13.7
Algeria,36.9,,,,,36.5,,,,,37.5,,,,,35.9,,,,,33.6,33.8,33.4,34.2,35.6,36.1,39.9,38.9
Ecuador,18.4,,,,,18.5,,,,,18.7,,,,,19.9,,,,,20,19.3,19.6,18.1,16.2,15.7,15,14.9
Egypt,75.5,,,,,72.3,,,,,73.3,,,,,74,,,,,77.4,70.8,72.8,76.2,76.6,88.2,88.1,87
Eritrea,46.9,,,,,46.3,,,,,46.4,,,,,47.1,,,,,45.2,45.3,46.1,47.6,44.4,49.8,48.7,48
Spain,12.2,,,,,11.9,,,,,11.8,,,,,11.6,,,,,11.3,12,11.1,10.7,10.1,10.4,9.7,9.7
Estonia,9.05,,,,,8.58,,,,,8.23,,,,,8.46,,,,,8.52,8.44,7.81,7.48,7.71,7,6.82,6.73
Ethiopia,35.8,,,,,35.8,,,,,35.5,,,,,34.4,,,,,35.6,36.3,36,35.9,35,38.9,39.2,39
Finland,7.41,,,,,7.23,,,,,7.09,,,,,7.14,,,,,7.19,7.28,6.6,6.28,6.47,6.06,5.89,5.86
Fiji,13.1,,,,,13,,,,,13.1,,,,,12.9,,,,,13.5,13.8,12.9,12.1,11.9,11.6,11.1,10.8
France,15.8,,,,,15.3,,,,,14.7,,,,,14.7,,,,,14.8,14.9,13.8,13.6,12.3,12.7,11.9,11.8
"Micronesia, Fed. Sts.",14,,,,,14.1,,,,,14.1,,,,,14,,,,,13.7,13.7,13,12.7,11.9,11.7,11.1,11.3
Gabon,42.9,,,,,42.8,,,,,42.6,,,,,40,,,,,40.3,41.1,40.8,40.7,41.3,44.1,43.7,44.4
United Kingdom,13.5,,,,,13,,,,,12.6,,,,,12.5,,,,,12.3,12.8,11.8,11.6,10.8,10.8,10.5,10.5
Georgia,26.5,,,,,25.3,,,,,25.3,,,,,25.6,,,,,26.1,26.8,25,23.9,23,24.3,21.8,22.2
Ghana,35.6,,,,,34.8,,,,,35,,,,,26.8,,,,,27.4,28.2,28.9,27.8,25.9,34.7,36.3,34.7
Guinea,24.7,,,,,24.2,,,,,24,,,,,22.4,,,,,22,22.4,23,21.3,21.2,26.9,24.8,26.1
Gambia,35.3,,,,,34.8,,,,,34.6,,,,,30.3,,,,,30.2,29.3,30.7,29.8,30.6,36.3,32.6,34
Guinea-Bissau,30.6,,,,,30.5,,,,,30.5,,,,,26.8,,,,,26.8,27.4,27.1,26.5,26.9,31.8,29.6,29.8
Equatorial Guinea,51.4,,,,,52.1,,,,,51.7,,,,,45.6,,,,,46.2,46.9,45.2,43.6,44.3,52.6,54.5,53.2
Greece,20.6,,,,,19.8,,,,,19.9,,,,,19.3,,,,,19.1,20,18.4,17.8,17.4,17.7,16.3,16.2
